1,177.2286923
2,176.6012998
3,177.0305428
1,177.7036255
2,177.1254863
3,176.7783425
1,176.7463019
2,177.0611642
3,176.2749493
1,177.9672029
2,176.6012998
3,177.0305428
1,177.4795072
2,176.8741298
3,176.1143883
1,176.0083945
2,176.1083126
3,178.3574409
1,177.2624451
2,176.9188449
3,176.2390158
1,176.5730698
2,176.0392979
3,176.8179222
1,176.1605865
2,177.2264241
3,175.938533
1,177.1649367
2,175.3608396
3,177.2769957
1,175.9454438
2,175.8827796
3,176.4793409
1,176.0443421
2,177.4124617
3,177.3608182
1,177.3854992
2,176.9758077
3,177.3797787
1,177.9979951
2,176.4348626
3,176.9332651
1,175.9834802
2,177.0340927
3,176.4367624
1,176.067745
2,177.1210486
3,177.1977214
1,176.6037241
2,177.2081714
3,177.1488286
1,176.8190767
2,176.9990669
3,178.1346046
1,176.429156
2,176.6683229
3,176.8958669
1,177.7794929
2,176.414495
3,176.8788977
1,177.5806831
2,176.9572689
3,175.7475456
1,177.3525951
2,177.1041864
3,178.0796352
1,176.9034221
2,177.5402842
3,177.0327097
1,178.2860419
2,176.4054102
3,176.4308301
1,177.3963306
2,176.9255758
3,177.0550458
1,177.3441639
2,177.1283675
3,177.1683022
1,176.3539406
2,179.060899
3,176.3005171
1,177.5933524
2,177.1152452
3,177.7944574
1,177.0040381
2,178.0368584
3,177.7013663
1,177.6328083
2,177.6522746
3,177.1004179
